Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
หวยไทยรัฐ16/9/68,2,2,1900,28,0.00,https://news.sanook.com/lotto/check/16092568/,250,2.04,0.00,0,3340,"[100,0]",2025-12-25,"Image pack, Video, Related searches",informational,Organic
หวยออก,1,1,1000,80,0.00,https://news.sanook.com/lotto/,248,2.03,0.00,0,44800000,"[20,20,27,36,20,24,20,10,100,16,100,0]",2025-12-12,"Sitelinks, Video, Related searches",informational,Organic
ตรวจหวยงวด 16 กรกฎาคม 2568,1,1,880,18,0.00,https://news.sanook.com/lotto/check/16072568/,218,1.78,0.00,0,522000,"[100,0,0]",2025-11-23,"Image pack, Video, Related searches","commercial, informational",Organic
สลาก กินแบ่ง รัฐบาล,1,1,880,47,0.00,https://news.sanook.com/lotto/,218,1.78,0.00,0,10,"[45,24,67,13,100,100,100,100,76,8,55,76]",2025-11-23,"Sitelinks, Video, Related searches, See results about","commercial, informational",Organic
ตรวจ หวย,1,1,880,79,0.00,https://news.sanook.com/lotto/,218,1.78,0.00,0,42100000,"[0,5,0,1,1,0,65,65,100,82,11,16]",2025-12-06,"Sitelinks, Video, Related searches",informational,Organic
ตรวจสลากกินแบ่งรัฐบาล,1,1,880,80,0.00,https://news.sanook.com/lotto/,218,1.78,0.00,0,3600000,"[20,20,22,16,22,16,100,0,0,7,7,4]",2025-12-05,"Sitelinks, Video, Video Carousel, Related searches",informational,Organic
ตรวจหวย 1 กันยายน 68,2,2,1600,34,0.00,https://news.sanook.com/lotto/check/01092568/,211,1.72,0.00,0,1480000,"[100,0]",2025-12-25,"Video, Featured snippet, Image, People also ask, Related searches, Short videos",informational,Organic
ตรวจหวย1กันยายน2568,2,2,1600,36,0.00,https://news.sanook.com/lotto/check/01092568/,211,1.72,0.00,0,2570000,"[100,0]",2025-12-25,"Video, Featured snippet, Image, People also ask, Related searches, Short videos",informational,Organic
ห ว ย,1,1,720,26,0.00,https://news.sanook.com/lotto/,178,1.45,0.00,0,292000000,"[45,24,55,10,81,81,36,45,24,10,10,81]",2025-11-27,"Image pack, Video, Image, Video Carousel, Related searches","informational, transactional",Organic
ตรวจลอตเตอรี่,1,1,720,82,0.00,https://news.sanook.com/lotto/,178,1.45,0.00,0,5490000,"[8,11,7,8,11,16,8,100,8,100,4,3]",2025-10-11,"Sitelinks, Video, Related searches, See results about",informational,Organic
สลาก กินแบ่งรัฐบาล,1,1,720,82,0.00,https://news.sanook.com/lotto/,178,1.45,0.00,0,3900000,"[31,16,46,8,68,68,68,68,52,0,0,0]",2025-11-28,"Sitelinks, Video, Related searches, See results about","commercial, informational",Organic
หวย ออก,1,1,170,84,0.00,https://news.sanook.com/lotto/,136,1.11,0.00,0,44500000,"[0,2,6,13,20,16,10,24,8,20,30,3]",2025-09-10,"Image pack, Sitelinks, Video, Related searches",navigational,Organic
ตรวจหวย 16 มิถุนายน 68,2,2,1000,31,0.00,https://news.sanook.com/lotto/check/16062568/,132,1.08,0.00,0,1070000,"[100,0]",2025-09-26,"Video, Featured snippet, Video Carousel, People also ask, Related searches",informational,Organic
ตรวจหวย 1 เมษายน 2568,2,2,1000,68,0.00,https://news.sanook.com/lotto/check/01042568/,132,1.08,0.00,0,1800000,"[100,0,0,0]",2025-09-24,"Video, Featured snippet, Image, Video Carousel, People also ask, Related searches",informational,Organic
ตรวจหวย1มิถุนายน2568,2,2,1000,28,0.00,https://news.sanook.com/lotto/check/01062568/,132,1.08,0.00,0,1920000,"[100,0]",2025-09-26,"Video, Featured snippet",informational,Organic
ผลสลากกินแบ่งรัฐบาล 16 กรกฎาคม 2568,1,1,480,16,0.00,https://news.sanook.com/lotto/check/16072568/,119,0.97,0.00,0,291000,"[100,0,0,0]",2025-12-27,"Video, Image, Related searches","commercial, informational",Organic
ผลสลากกินแบ่งรัฐบาล,1,1,480,79,0.00,https://news.sanook.com/lotto/,119,0.97,0.00,0,3720000,"[30,30,36,36,36,41,13,1,8,10,10,0]",2025-12-05,"Sitelinks, Video, Related searches","commercial, informational",Organic
ตรวจหวย 16 เมษายน 2568,2,2,880,45,0.00,https://news.sanook.com/lotto/check/16042568/,116,0.95,0.00,0,1310000,"[100,0,0,0,0,0]",2025-12-20,"Video, Featured snippet, Image, People also ask, Related searches",informational,Organic
ตรวจ หวย 1 ธันวาคม 2567,1,1,140,19,0.00,https://news.sanook.com/lotto/check/01122567/,112,0.91,0.00,0,1170000,"[0,0,0,0,1,100,6,5,5,1,1,1]",2025-09-10,"Image pack, Video, Related searches",informational,Organic
ตรวจหวย16กันยายน2568,5,5,2400,29,0.00,https://news.sanook.com/lotto/archive/page/83/,105,0.86,0.00,0,1690000,"[100,0]",2025-12-25,"Video, Featured snippet, Image, People also ask, Related searches",informational,Organic
หวย ออก อะไร,1,1,110,50,0.00,https://news.sanook.com/lotto/,88,0.72,0.00,0,9,"[15,28,28,34,34,21,28,34,34,43,43,100]",2025-11-09,"Sitelinks, Video, Related searches","commercial, navigational",Organic
ตรวจหวย,7,7,2900,82,0.00,https://news.sanook.com/lotto/archive/,87,0.71,0.00,0,39800000,"[16,13,19,19,19,3,44,29,3,2,0,10]",2025-12-27,"Sitelinks, Video, Related searches",informational,Organic
ตรวจหวยย้อนหลัง,1,1,320,71,0.00,https://news.sanook.com/lotto/archive/,79,0.64,0.00,0,8810000,"[44,36,67,44,5,100,54,44,0,0,1,19]",2025-12-28,"Video, People also ask, Related searches",informational,Organic
หวย ไ ท ย รัฐ,2,2,590,79,0.00,https://news.sanook.com/lotto/,77,0.63,0.00,0,16300000,"[67,54,54,54,54,67,54,54,54,100,100,19]",2025-10-02,"Top stories, Sitelinks, Video, Image, Video Carousel, Related searches",informational,Organic
ตรวจหวย วันนี้,1,1,90,85,0.00,https://news.sanook.com/lotto/,72,0.59,0.00,0,42000000,"[78,78,64,64,35,64,64,64,64,0,100,78]",2025-09-07,"Image pack, Sitelinks, Video, Related searches",navigational,Organic
รางวัลที่1,1,1,90,89,0.00,https://news.sanook.com/lotto/,72,0.59,0.00,0,80500000,"[43,43,28,34,28,28,43,34,34,3,0,0]",2025-09-11,"Image pack, Sitelinks, Video, People also ask, Related searches",navigational,Organic
ตรวจสลากกินแบ่ง,1,1,260,81,0.00,https://news.sanook.com/lotto/,64,0.52,0.00,0.33,3620000,"[0,0,0,0,0,100,0,0,0,0,0,0]",2025-12-27,"Sitelinks, Video, Related searches","commercial, informational",Organic
ตรวจ สลากกินแบ่ง รัฐบาล,1,1,260,77,0.00,https://news.sanook.com/lotto/,64,0.52,0.00,0,3650000,"[7,21,14,9,11,17,48,11,48,39,32,26]",2025-12-25,"Sitelinks, Video, Related searches",informational,Organic
ตรวจหวยวันนี้,1,1,260,82,0.00,https://news.sanook.com/lotto/,64,0.52,0.00,0,40300000,"[4,3,5,8,5,4,0,3,4,5,2,100]",2025-12-14,"Sitelinks, Video, Related searches",navigational,Organic
หวยไทยรัฐ,2,2,480,25,0.00,https://news.sanook.com/lotto/,63,0.51,0.00,0,7990000,"[72,59,59,72,72,72,72,59,59,2,2,1]",2025-09-09,"Image pack, Sitelinks, Video, Related searches","informational, transactional",Organic
lottery sanook,1,1,70,66,0.00,https://news.sanook.com/lotto/,56,0.45,0.00,0,352000,"[35,64,64,64,35,64,100,50,28,50,35,35]",2025-12-27,"Sitelinks, Related searches",navigational,Organic
ตัว หวย,6,6,1600,28,0.00,https://news.sanook.com/lotto/archive/,56,0.45,0.00,0,10,"[20,10,36,5,80,100,80,66,80,1,24,52]",2025-11-23,"Sitelinks, Video, Related searches",informational,Organic
sanook lotto,1,1,70,66,0.00,https://news.sanook.com/lotto/,56,0.45,0.00,0,0,"[35,35,64,64,50,50,50,35,35,50,50,35]",2025-11-24,"Sitelinks, Related searches",navigational,Organic
ต้รวจหวย,1,1,70,83,0.00,https://news.sanook.com/lotto/,56,0.45,0.00,0,346000,"[0,52,0,0,0,0,0,0,0,0,0,0]",2025-10-21,"Sitelinks, Video, Related searches",navigational,Organic
หวย รัฐบาล,1,1,70,83,0.00,https://news.sanook.com/lotto/,56,0.45,0.00,0,10500000,"[12,28,28,9,12,15,21,34,21,43,21,43]",2025-09-07,"Image pack, Sitelinks, Video, Related searches, See results about",navigational,Organic
ผล สลาก รัฐบาล,1,1,210,79,0.00,https://news.sanook.com/lotto/,52,0.42,0.00,0,2460000,"[35,35,35,28,28,28,35,28,35,23,100,66]",2025-09-08,"Image pack, Sitelinks, Video, Related searches",informational,Organic
ผลสลากรัฐบาล,1,1,210,82,0.00,https://news.sanook.com/lotto/,52,0.42,0.00,0,3100000,"[20,20,11,20,8,16,31,0,0,0,0,0]",2025-11-10,"Sitelinks, Video, Related searches",informational,Organic
ตรวจ สลาก รัฐบาล,1,1,210,79,0.00,https://news.sanook.com/lotto/,52,0.42,0.00,0,77,"[28,35,28,28,28,28,28,28,23,23,100,100]",2025-09-08,"Image pack, Sitelinks, Video, Related searches",informational,Organic
ตัว หวย,7,7,1600,28,0.00,https://news.sanook.com/lotto/check/16112568/,48,0.39,0.00,0,10,"[20,10,36,5,80,100,80,66,80,1,24,52]",2025-11-23,"Sitelinks, Video, Related searches",informational,Organic
สลากผลกินแบ่งรัฐบาล,1,1,170,89,0.00,https://news.sanook.com/lotto/,42,0.34,0.00,0,5770000,"[20,11,20,8,16,31,0,0,0,0,0,0]",2025-12-06,"Knowledge panel, Sitelinks, Video, Video Carousel, Related searches",informational,Organic
หวยออกอะไร,1,1,170,78,0.00,https://news.sanook.com/lotto/,42,0.34,0.00,0,47100000,"[54,43,43,100,54,66,2,43,0,0,14,0]",2025-11-27,"Sitelinks, Video, Related searches",navigational,Organic
ผล สลากกินแบ่ง รัฐบาล,1,1,170,78,0.00,https://news.sanook.com/lotto/,42,0.34,0.00,0,3680000,"[8,13,24,10,16,10,8,16,8,10,10,13]",2025-12-25,"Sitelinks, Video, Related searches","commercial, informational",Organic
สลากกินแบ่งรัฐบาลงวดล่าสุด,1,1,170,79,0.00,https://news.sanook.com/lotto/,42,0.34,0.00,0,2520000,"[54,54,54,54,35,11,18,18,8,5,0,18]",2025-12-27,"Sitelinks, Video, Related searches","commercial, informational",Organic
ตรวจ-หวย,1,1,50,83,0.00,https://news.sanook.com/lotto/,40,0.32,0.00,0,43500000,"[7,0,16,0,0,0,0,0,0,0,0,0]",2025-12-12,"Sitelinks, Video, Related searches",navigational,Organic
หวย ออก อะไร งวด นี้,1,1,50,35,0.00,https://news.sanook.com/lotto/,40,0.32,0.00,0,10,"[41,100,82,41,11,64,11,11,11,11,11,11]",2025-11-16,"Image pack, Sitelinks, Video, Related searches","commercial, informational",Organic
ตรวจ หวย,5,5,880,79,0.00,https://news.sanook.com/lotto/check/01122568/,38,0.31,0.00,0,42100000,"[0,5,0,1,1,0,65,65,100,82,11,16]",2025-12-06,"Sitelinks, Video, Related searches",informational,Organic
หวยออก,6,6,1000,80,0.00,https://news.sanook.com/lotto/lotto-stats/daily/fri/10/,35,0.28,0.00,0,44800000,"[20,20,27,36,20,24,20,10,100,16,100,0]",2025-12-12,"Sitelinks, Video, Related searches",informational,Organic
ตรวจ หวย ย้อน หลัง,1,1,140,68,0.00,https://news.sanook.com/lotto/archive/,34,0.27,0.00,0,9260000,"[34,21,34,34,34,34,34,34,100,100,43,34]",2025-10-24,Related searches,"commercial, informational",Organic
หวยรัฐบาล,1,1,140,78,0.00,https://news.sanook.com/lotto/,34,0.27,0.00,0,10500000,"[43,53,53,43,81,100,34,0,81,28,34,0]",2025-12-02,"Top stories, Sitelinks, Video, Related searches, See results about",informational,Organic
เลข รางวัล ที่ 1,1,1,40,61,0.00,https://news.sanook.com/lotto/,32,0.26,0.00,0,9,"[33,77,11,77,100,44,33,22,22,22,22,22]",2025-11-13,"Image pack, Sitelinks, Video, Related searches","commercial, informational",Organic
รางวัล ที่1,1,1,40,87,0.00,https://news.sanook.com/lotto/,32,0.26,0.00,0,80100000,"[23,42,23,33,42,33,52,0,0,0,0,0]",2025-10-19,"Top stories, Sitelinks, Video, Video Carousel, People also ask, Related searches",navigational,Organic
ตรวจลอตเตอรี่,5,5,720,82,0.00,https://news.sanook.com/lotto/check/01102568/,31,0.25,0.00,0,5490000,"[8,11,7,8,11,16,8,100,8,100,4,3]",2025-10-11,"Sitelinks, Video, Related searches, See results about",informational,Organic
ตรวจ หวย 16 กุมภาพันธ์ 2568,1,1,110,29,0.00,https://news.sanook.com/lotto/check/16022568/,27,0.22,0.00,0,1120000,"[0,0,0,0,1,100,1,1,1,1,1,1]",2025-10-24,"Sitelinks, Video, Image, Video Carousel, Related searches",informational,Organic
ตรวจหวย1มี.ค2568,1,1,110,51,0.00,https://news.sanook.com/lotto/check/01032568/,27,0.22,0.00,0,21200000,"[0,0,0,0,0,0,100,0,0,0,0,0]",2025-10-22,"Video, Image, People also ask, Related searches","commercial, informational",Organic
ป ล หวย,1,1,110,78,0.00,https://news.sanook.com/lotto/,27,0.22,0.00,0,43400000,"[100,100,78,78,64,64,100,64,78,78,100,0]",2025-09-10,"Top stories, Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
ตรวจหวย 1 มีนาคม 68,1,1,110,54,0.00,https://news.sanook.com/lotto/check/01032568/,27,0.22,0.00,0,1320000,"[0,0,0,0,0,0,100,0,0,0,0,0]",2025-10-22,"Image pack, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
ผล สลาก,1,1,110,83,0.00,https://news.sanook.com/lotto/,27,0.22,0.00,0,7240000,"[0,15,21,21,21,15,21,53,65,81,43,28]",2025-12-12,"Top stories, Sitelinks, Video, Related searches",informational,Organic
ตรวจหวย16กันยายน2568,9,9,2400,29,0.00,https://news.sanook.com/lotto/check/16092568/,26,0.21,0.00,0,1690000,"[100,0]",2025-12-25,"Video, Featured snippet, Image, People also ask, Related searches",informational,People also ask
หวยออก,9,9,1000,80,0.00,https://news.sanook.com/lotto/archive/,24,0.19,0.00,0,44800000,"[20,20,27,36,20,24,20,10,100,16,100,0]",2025-12-12,"Sitelinks, Video, Related searches",informational,Organic
ตรวจหวย 1 กพ 2568,1,1,90,12,0.00,https://news.sanook.com/lotto/check/01022568/,22,0.18,0.00,0,10,"[0,0,0,0,100,54,3,0,0,0,0,0]",2025-11-16,"Top stories, Image pack, Video, Image, People also ask, Related searches",informational,Organic
ล้อ ต เต อ รี่,2,2,170,83,0.00,https://news.sanook.com/lotto/,22,0.18,0.00,0,10100000,"[43,43,43,43,34,34,53,28,34,34,100,100]",2025-09-10,"Knowledge panel, Image pack, Sitelinks, Video, Related searches",informational,Organic
ตรวจ หวย 1 พ ย 67,1,1,90,54,0.00,https://news.sanook.com/lotto/check/01112567/,22,0.18,0.00,0,6430000,"[6,100,28,3,0,3,3,3,3,0,3,3]",2025-12-19,"Video, Related searches","commercial, informational",Organic
ผล สลากกินแบ่ง,1,1,90,80,0.00,https://news.sanook.com/lotto/,22,0.18,0.00,0,3760000,"[41,29,52,52,41,17,41,100,100,82,41,64]",2025-12-17,"Top stories, Sitelinks, Video, Related searches",informational,Organic
ตรวจ หวย วัน นี้,1,1,90,78,0.00,https://news.sanook.com/lotto/,22,0.18,0.00,0,20500000,"[64,50,50,50,100,64,64,50,100,78,78,78]",2025-11-06,"Video, Image, Video Carousel, Related searches",navigational,Organic
ตรวจ-หวยย้อนหลัง,1,1,90,69,0.00,https://news.sanook.com/lotto/archive/,22,0.18,0.00,0,9440000,"[29,22,43,29,35,0,0,0,66,0,0,0]",2025-12-02,"Video, People also ask, Related searches","commercial, informational",Organic
ตรวจ สลากกินแบ่งรัฐบาล,2,2,170,81,0.00,https://news.sanook.com/lotto/,22,0.18,0.00,0,3490000,"[36,44,23,44,15,36,12,0,0,0,0,0]",2025-10-26,"Sitelinks, Video, People also ask, Related searches",informational,Organic
หวยออก,10,10,1000,80,0.00,https://news.sanook.com/lotto/lotto-stats/daily/tue/10/,22,0.18,0.00,0,44800000,"[20,20,27,36,20,24,20,10,100,16,100,0]",2025-12-12,"Sitelinks, Video, Related searches",informational,Organic
ตรวจหวย,13,13,2900,82,0.00,https://news.sanook.com/lotto/check/16122568/,20,0.16,0.00,0,39800000,"[16,13,19,19,19,3,44,29,3,2,0,10]",2025-12-27,"Sitelinks, Video, Related searches",informational,Organic
ตรวจหวย 1 เมษายน 2568 ไทยรัฐ,2,2,720,26,0.00,https://news.sanook.com/lotto/check/01042568/,18,0.14,0.00,0,53800,"[100,0,0,0]",2025-10-01,"Image pack, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
สลากกินแบ่ง รัฐบาล งวด ล่าสุด,2,2,140,82,0.00,https://news.sanook.com/lotto/,18,0.14,0.00,0,2290000,"[80,100,80,100,52,52,52,42,42,42,100,66]",2025-09-10,"Top stories, Image pack, Sitelinks, Video, People also ask, Related searches",navigational,Organic
หวย ออก วัน นี้,1,1,70,78,0.00,https://news.sanook.com/lotto/,17,0.13,0.00,0,44400000,"[14,64,50,28,50,28,14,14,14,100,50,100]",2025-11-28,"Sitelinks, Video, Image, Related searches",navigational,Organic
รางวัล ที่ 1,1,1,70,82,0.00,https://news.sanook.com/lotto/,17,0.13,0.00,0,76100000,"[21,28,35,64,28,50,64,35,7,50,64,78]",2025-09-11,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
หวย ไทย,1,1,70,83,0.00,https://news.sanook.com/lotto/,17,0.13,0.00,0,36800000,"[0,28,0,0,0,0,28,28,43,65,28,43]",2025-12-10,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
หวย งวด นี้,1,1,70,77,0.00,https://news.sanook.com/lotto/,17,0.13,0.00,0,10100000,"[12,7,23,17,23,7,17,35,23,17,23,23]",2025-12-18,"Sitelinks, Video, Video Carousel, Related searches",navigational,Organic
ต รส จ,1,1,70,76,0.00,https://news.sanook.com/lotto/,17,0.13,0.00,0,138000000,"[3,3,3,100,6,3,3,3,3,3,3,3]",2025-12-14,"Sitelinks, Video, Related searches","commercial, informational",Organic
สลากกินแบ่ง,1,1,70,83,0.00,https://news.sanook.com/lotto/,17,0.13,0.00,0,3830000,"[50,50,35,50,21,50,28,50,50,64,50,78]",2025-11-27,"Knowledge panel, Sitelinks, Video, Related searches",informational,Organic
หวย ล่าสุด,1,1,70,80,0.00,https://news.sanook.com/lotto/,17,0.13,0.00,0,39900000,"[9,9,9,9,9,9,52,52,100,33,33,23]",2025-12-24,"Top stories, Sitelinks, Video, Related searches","commercial, informational",Organic
ผลสลากกินแบ่ง,1,1,70,85,0.00,https://news.sanook.com/lotto/,17,0.13,0.00,0,3510000,"[4,3,5,8,4,5,5,10,0,0,0,0]",2025-12-12,"Top stories, Sitelinks, Video, Image, Related searches",informational,Organic
ผล สลาก รัฐบาล วัน นี้,1,1,70,80,0.00,https://news.sanook.com/lotto/,17,0.13,0.00,0,3590000,"[11,11,82,11,11,100,11,11,11,100,29,41]",2025-11-28,"Top stories, Sitelinks, Video, Image, Related searches",informational,Organic
ตรวจ หวย 1 ตุลาคม 2567,1,1,70,16,0.00,https://news.sanook.com/lotto/check/01102567/,17,0.13,0.00,0,1700000,"[17,100,43,5,5,5,10,5,5,5,5,5]",2025-11-16,"Video, People also ask, Related searches",informational,Organic
หวย วัน นี้,1,1,70,82,0.00,https://news.sanook.com/lotto/,17,0.13,0.00,0,43700000,"[4,9,14,0,23,52,33,52,19,42,100,33]",2025-09-08,"Top stories, Image pack, Sitelinks, Video, Related searches",navigational,Organic
หวยงวดนี้,1,1,70,82,0.00,https://news.sanook.com/lotto/,17,0.13,0.00,0,10200000,"[28,28,10,43,23,35,0,35,2,0,0,23]",2025-12-02,"Top stories, Sitelinks, Video, Video Carousel, Related searches",navigational,Organic
ตรวจ ลอตเตอรี่,1,1,70,83,0.00,https://news.sanook.com/lotto/,17,0.13,0.00,0,4940000,"[0,0,0,0,35,17,28,28,53,28,28,7]",2025-12-24,"Knowledge panel, Sitelinks, Video, Related searches",informational,Organic
ตรวจผลสลากกินแบ่งรัฐบาล,1,1,70,75,0.00,https://news.sanook.com/lotto/,17,0.13,0.00,0,3360000,"[3,3,6,3,3,3,100,1,1,1,1,0]",2025-11-16,"Image pack, Sitelinks, Video, Related searches",informational,Organic
ตรวจสลากกินแบ่งรัฐบาล 1 ตุลาคม 2567,1,1,70,16,0.00,https://news.sanook.com/lotto/check/01102567/,17,0.13,0.00,0,10,"[100,100,6,6,6,0,0,0,0,0,0,0]",2025-11-18,"Image pack, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
ตรวจสลากกินแบ่งรัฐบาล,8,8,880,80,0.00,https://news.sanook.com/lotto/check/01122568/,16,0.13,0.00,0,3600000,"[20,20,22,16,22,16,100,0,0,7,7,4]",2025-12-05,"Sitelinks, Video, Video Carousel, Related searches",informational,Organic
ตรวจลอตเตอรี่,10,10,720,82,0.00,https://news.sanook.com/lotto/archive/,15,0.12,0.00,0,5490000,"[8,11,7,8,11,16,8,100,8,100,4,3]",2025-10-11,"Sitelinks, Video, Related searches, See results about",informational,Organic
หวย ชัวร์ 100,7,7,480,57,0.00,https://news.sanook.com/lotto/lotto-stats/yearly/,14,0.11,0.00,0,4030000,"[0,0,0,3,100,0,0,0,0,0,0,0]",2025-12-20,"Sitelinks, Related searches","commercial, informational",Organic
ตรวจ สลากกินแบ่งรัฐบาล,3,3,170,81,0.00,https://news.sanook.com/lotto/check/16102568/,13,0.1,0.00,0,3490000,"[36,44,23,44,15,36,12,0,0,0,0,0]",2025-10-26,"Sitelinks, Video, People also ask, Related searches",informational,Organic
ตรวจ รางวัล ที่ 1,1,1,50,75,0.00,https://news.sanook.com/lotto/,12,0.09,0.00,0,45800000,"[23,11,82,82,11,100,41,11,11,11,11,11]",2025-11-16,"Sitelinks, Video, Related searches","commercial, informational",Organic
1/9/67,1,1,50,23,0.00,https://news.sanook.com/lotto/check/01092567/,12,0.09,0.00,0,8,"[0,0,0,0,0,0,0,80,80,42,52,66]",2025-11-16,"Image pack, Video, Image, People also ask, Related searches, AI overview",informational,Organic
ตรวจ หวย 16 ธันวาคม 2567,1,1,50,14,0.00,https://news.sanook.com/lotto/check/16122567/,12,0.09,0.00,0,1690000,"[0,0,100,5,5,5,5,5,5,0,0,5]",2025-12-11,"Image pack, Video, Image, Related searches",informational,Organic
ตรวจหวย ย้อน หลัง,1,1,50,66,0.00,https://news.sanook.com/lotto/archive/,12,0.09,0.00,0,9540000,"[15,28,18,15,8,0,0,0,0,0,0,28]",2025-12-24,"Video, People also ask, Related searches",informational,Organic
ตรวจ หวย วัน ที่ 16,1,1,50,61,0.00,https://news.sanook.com/lotto/check/16112568/,12,0.09,0.00,0,21500000,"[11,52,64,100,11,41,11,11,11,11,11,11]",2025-12-01,"Image pack, Video, Related searches","informational, transactional",Organic
ผล สลากกินแบ่ง รัฐบาล วัน นี้,1,1,50,74,0.00,https://news.sanook.com/lotto/,12,0.09,0.00,0,3560000,"[11,23,11,11,100,11,11,11,11,100,29,41]",2025-11-28,"Sitelinks, Video, Related searches",informational,Organic
ตรวจ หวย 16 มีนาคม 2567,1,1,50,16,0.00,https://news.sanook.com/lotto/check/16032567/,12,0.09,0.00,0,644000,"[11,100,64,11,82,11,11,11,11,11,11,0]",2025-11-28,"Video, Image, Related searches","commercial, informational",Organic
หวย งวด ที่ แล้ว,1,1,50,69,0.00,https://news.sanook.com/lotto/archive/,12,0.09,0.00,0,7200000,"[11,11,52,11,11,11,64,64,64,11,11,11]",2025-11-28,"Video, Related searches",informational,Organic
ตรวจหวย16ตุลาคม2567,1,1,50,19,0.00,https://news.sanook.com/lotto/check/16102567/,12,0.09,0.00,0,953000,"[100,4,4,4,4,4,0,0,0,0,0,0]",2025-11-30,"Video, Image, People also ask, Related searches",informational,Organic
หวย ออก ล่าสุด,1,1,50,82,0.00,https://news.sanook.com/lotto/,12,0.09,0.00,0,39400000,"[100,14,50,78,50,14,14,14,14,78,14,14]",2025-11-28,"Sitelinks, Video, People also ask, Related searches",informational,Organic
ล๊ อ ต เต อ รี่,1,1,50,56,0.00,https://news.sanook.com/lotto/,12,0.09,0.00,0,8,"[12,12,17,17,12,12,7,17,17,17,12,12]",2025-11-18,"Knowledge panel, Sitelinks, Video, Image, Related searches",informational,Organic
ตรวจหวย 17 มกราคม 2568,1,1,50,38,0.00,https://news.sanook.com/lotto/check/17012568/,12,0.09,0.00,0.33,1570000,"[0,0,100,4,4,0,0,0,0,0,0,4]",2025-12-25,"Video, Image, Related searches",informational,Organic
ตรวจ หวย 1 เมษายน 2567,1,1,50,17,0.00,https://news.sanook.com/lotto/check/01042567/,12,0.09,0.00,0,796000,"[100,11,64,11,11,82,11,11,0,0,11,0]",2025-12-14,"Video, Image, People also ask, Related searches","commercial, informational",Organic
ล๊อตเตอรี่,1,1,50,89,0.00,https://news.sanook.com/lotto/,12,0.09,0.00,0,16900000,"[45,45,100,100,81,63,63,63,0,9,0,0]",2025-10-31,"Knowledge panel, Sitelinks, Video, Related searches",informational,Organic
